questions,answers
"If I participate in contact tracing for COVID-19 using a digital tool, is my personal health information secure?","Yes, if you agree to participate in contact tracing for COVID-19 with the health department, your information is secure. Discussions with health department staff are confidential. This means that your personal and medical information will be kept private and only shared with those who may need to know, like your health care provider. Your name will not be shared with those you came in contact with. If you have been diagnosed with COVID-19, the health department will only notify people you were in close contact with (within 6 feet for more than 15 minutes) that they might have been exposed to COVID-19. Health departments may use case management tools to help make the contact tracing process more efficient. If you choose to provide information through one of these tools, your information is secure and stored with the health department. These tools also help health departments quickly receive and analyze information about COVID-19. Case management tools are under the same laws and regulations for all sensitive health information use (e.g. HIPPA). You must provide consent for the health department to collect information using a case management tool. Just like traditional contact tracing, digital tools will not collect information regarding money, Social Security numbers, bank account information, salary information, or credit card numbers. Exposure notification tools may be an app that you can download on your personal cell phone. If you choose to download an exposure notification app for COVID-19, your information is secure. Exposure notification apps are developed in collaboration with or endorsed by health departments. These apps undergo rigorous testing to determine their trustworthiness, security, and ability to protect people’s privacy. Until you give consent to share information with your local health department, any information you have entered into the app is stored only on your personal phone. Your information is stored only on your own phone and is not sent to the health department or any other third party. The app and your information can be deleted any time. When you consent to share your information with the local health department, your information is secure."
Will I be required to download a contact tracing app for COVID-19 on my phone?,"No, you are not required to download an app to give information for contact tracing for COVID-19. Health departments commonly use case management tools to make the contact tracing process more efficient. These types of tools are not downloaded on personal cell phones. If you choose to give information to your local or state health department for contact tracing for COVID-19, you do not need to download an app on your cell phone. The health department staff may call you to Check on your health, Discuss who you have been around, and Ask where you have spent time while you may have been able to spread COVID-19 to others. It is up to you to decide if you download an exposure notification app for COVID-19."
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,"There is currently no known risk associated with being in the same room at a funeral or visitation service with the body of someone who died of COVID-19. See How to Protect Yourself & Others to learn how to protect yourself from respiratory illnesses, like COVID-19, if you decide to attend a funeral or visitation."
Am I at risk if I touch someone who died of COVID-19 after they have passed away?,"COVID-19 is a new disease and we are still learning how it spreads. The virus that causes COVID-19 is thought to spread mainly from person-to-person through respiratory droplets produced when an infected person coughs, sneezes, or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. This type of spread is not a concern after death. It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes. This is not thought to be the main way the virus spreads. People should consider not touching the body of someone who has died of COVID-19. Older people and people of all ages with severe underlying health conditions are at higher risk of severe illness from COVID-19. There may be less of a chance of the virus spreading from certain types of touching, such as holding the hand or hugging after the body has been prepared for viewing. Other activities, such as kissing, washing, and shrouding should be avoided before, during, and after the body has been prepared, if possible. If washing the body or shrouding are important religious or cultural practices, families are encouraged to work with their community’s cultural and religious leaders and funeral home staff on how to reduce their exposure as much as possible. At a minimum, people conducting these activities should wear disposable gloves. If splashing of fluids is expected, additional personal protective equipment (PPE) may be required (such as disposable gown, face shield, or goggles and N-95 respirator)."
How can loved ones safely handle belongings of someone who died from COVID-19?,"If desired, you may retrieve the belongings of a loved one who has died of COVID-19 outside their home (for example, in a hospital setting). Depending on local rules and regulations, family members may retrieve these belongings at the funeral home or the healthcare facility. You should use gloves and practice good hand hygiene when handling your loved ones’ belongings. Depending on the type of belongings, such as electronics, you should also follow the household item-specific cleaning and disinfection guidelines when handling these items."
What should I do if my family member died from COVID-19 while overseas?,"When a US citizen dies outside the United States, the deceased person’s next of kin or legal representative should notify US consular officials at the Department of State. Consular personnel are available 24 hours a day, 7 days a week, to provide assistance to US citizens for overseas emergencies. If a family member, domestic partner, or legal representative is in a different country from the deceased person, he or she should call the Department of State’s Office of Overseas Citizens Services in Washington, DC, from 8 am to 5 pm Eastern time, Monday through Friday, at 888-407-4747 (toll-free) or 202-501-4444. For emergency assistance after working hours or on weekends and holidays, call the Department of State switchboard at 202-647-4000 and ask to speak with the Overseas Citizens Services duty officer. In addition, the US embassyexternal iconexternal iconexternal icon closest to or in the country where the US citizen died can provide assistance."
My family member died from COVID-19 while overseas. What are the requirements for returning the body to the United States?,"CDC does not require an autopsy before the remains of a person who died overseas are returned to the United States. Depending on the circumstances surrounding the death, some countries may require an autopsy. Sources of support to the family include the local consulate or embassy, travel insurance provider, tour operator, faith-based and aid organizations, and the deceased’s employer. There likely will need to be an official identification of the body and official documents issued by the consular office. CDC requirements for importing human remains depend upon if the body has been embalmed, cremated, or if the person died from a quarantinable communicable disease. At this time, COVID-19 is a quarantinable communicable disease in the United States and the remains must meet the standards for importation found in 42 Code of Federal Regulations Part 71.55 and may be cleared, released, and authorized for entry into the United States only under the following conditions: The remains are cremated; OR The remains are properly embalmed and placed in a leak-proof container; OR The remains are accompanied by a permit issued by the CDC Director. The CDC permit (if applicable) must accompany the human remains at all times during shipment. Permits for the importation of the remains of a person known or suspected to have died from a quarantinable communicable disease may be obtained through the CDC Division of Global Migration and Quarantine by calling the CDC Emergency Operations Center at 770-488-7100 or emailing dgmqpolicyoffice@cdc.gov. Please see CDC’s guidance for additional information."
What is the difference between cleaning and disinfecting?,"Cleaning with soap and water removes germs, dirt, and impurities from surfaces. It lowers the risk of spreading infection. Disinfecting kills germs on surfaces. By killing germs on a surface after cleaning, it can further lower the risk of spreading infection."
"Is it safe to vacuum in a school, business, or community facility after someone with suspected or confirmed COVID-19 has been present?","The risk of transmitting or spreading SARS-CoV-2, the virus that causes COVID-19, during vacuuming is unknown. In order to reduce the need for cleaning, disinfection, and vacuuming, consider removing area rugs completely, if possible. At this time, there are no reported cases of COVID-19 associated with vacuuming. If vacuuming is necessary or required in a school, business, or community facility that was used by a person with suspected or confirmed COVID-19, first follow the CDC recommendations for Cleaning and Disinfection for Community Facilities that apply, which includes a wait time of 24 hours, or as long as practical. After cleaning and disinfection, the following recommendations may help reduce the risk to workers and other individuals when vacuuming: Use a vacuum equipped with a high-efficiency particulate air (HEPA) filter, if available. Do not vacuum a room or space that has people in it. Wait until the room or space is empty to vacuum, such as at night, for common spaces, or during the day for private rooms. Wear disposable gloves to clean and disinfect. For soft (porous) surfaces, such as carpeted floors or rugs, clean the surface using soap and water or with cleaners appropriate for use on these surfaces, according to the textile’s label. After cleaning, disinfect with an appropriate EPA-registered disinfectant on List N: Disinfectants for use against SARS-CoV-2external icon. Soft and porous materials, like carpet, are generally not as easy to disinfect as hard and non-porous surfaces. EPA has listed a limited number of products approved for disinfection for use on soft and porous materials on List N. Follow the disinfectant manufacturer’s safety instructions (such as wearing gloves and ensuring adequate ventilation), concentration level, application method and contact time. Allow sufficient drying time if vacuum is not intended for wet surfaces. Temporarily turn off in-room, window-mounted, or on-wall recirculation HVAC to avoid contamination of the HVAC units. Do NOT deactivate central HVAC systems. These systems tend to provide better filtration capabilities and introduce outdoor air into the areas that they serve."
What is routine cleaning? How frequently should facilities be cleaned to reduce the potential spread of COVID-19?,"Routine cleaning is the everyday cleaning practices that businesses and communities normally use to maintain a healthy environment. Surfaces frequently touched by multiple people, such as door handles, bathroom surfaces, and handrails, should be cleaned with soap and water or another detergent at least daily when facilities are in use. More frequent cleaning and disinfection may be required based on level of use. For example, certain surfaces and objects in public spaces, such as shopping carts and point of sale keypads, should be cleaned and disinfected before each use. Cleaning removes dirt and impurities, including germs, from surfaces. Cleaning alone does not kill germs, but it reduces the number of germs on a surface."
Is cleaning alone effective against the virus that causes COVID-19?,"Cleaning does not kill germs, but by removing them, it lowers their numbers and the risk of spreading infection. If a surface may have gotten the virus on it from a person with or suspected to have COVID-19, the surface should be cleaned and disinfected. Disinfecting kills germs on surfaces."
Who should clean and disinfect community spaces?,Regular cleaning staff can clean and disinfect community spaces. Cleaning staff should be trained on appropriate use of cleaning and disinfection chemicals and provided with the personal protective equipment (PPE) required for the chemicals used.
How long do companies need to close for disinfection after an exposure? How long before other workers can come back to work?,"Companies do not necessarily need to close after a person with confirmed or suspected COVID-19 has been in a company facility. The area(s) used or visited by the ill person should be closed for 24 hours or as long as possible. Open outside doors and windows as much as possible ensuring that doing so does not pose a safety risk to children using the facility (i.e. make sure that children are not able to enter the closed off area through any windows or doors). and use ventilating fans to increase air circulation in the area. Once the area has been appropriately disinfected, it can be opened for use. Workers without close contact with the person with confirmed or suspected COVID-19 can return to work immediately after disinfection is completed."
"How effective are alternative disinfection methods, such as ultrasonic waves, high intensity UV radiation, and LED blue light?","The efficacy of these disinfection methods against the virus that causes COVID-19 is not known. EPA only recommends use of the surface disinfectants identified on List Nexternal icon against the virus that causes COVID-19. EPA does not routinely review the safety or efficacy of pesticidal devices, such as UV lights, LED lights, or ultrasonic devices. Therefore, EPA cannot confirm whether, or under what circumstances, such products might be effective against the spread of COVID-19."
"Should outdoor playgrounds, like those at schools or in parks, be cleaned and disinfected to prevent COVID-19?","Outdoor areas generally require normal routine cleaning and do not require disinfection. Spraying disinfectant on outdoor playgrounds is not an efficient use of disinfectant supplies and has not been proven to reduce the risk of COVID-19 to the public. You should maintain existing cleaning and hygiene practices for outdoor areas. If practical, high touch surfaces made of plastic or metal, such as grab bars and railings, should be cleaned routinely. Cleaning and disinfection of wooden surfaces (e.g., play structures, benches, tables) or groundcovers (e.g., mulch, sand) is not recommended."
Can sanitizing tunnels be used at building entrances or exits to prevent the spread of COVID-19?,"CDC does not recommend the use of sanitizing tunnels. There is no evidence that they are effective in reducing the spread of COVID-19. Chemicals used in sanitizing tunnels could cause skin, eye, or respiratory irritation or damage."
Should sidewalks and roads be disinfected to prevent COVID-19?,CDC does not recommend disinfection of sidewalks or roads. Spraying disinfectant on sidewalks and roads is not an efficient use of disinfectant supplies and has not been proven to reduce the risk of COVID-19 to the public. The risk of spreading the virus that causes COVID-19 from these surfaces is very low and disinfection is not effective on these surfaces.
Can I get COVID-19 from my pets or other animals?,"At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. A small number of pets have been reported to be infected with the virus that causes COVID-19, mostly after contact with people with COVID-19. Pets have other types of coronaviruses that can make them sick, like canine and feline coronaviruses. These other coronaviruses cannot infect people and are not related to the current COVID-19 outbreak. However, since animals can spread other diseases to people, it’s always a good idea to practice healthy habits around pets and other animals, such as washing your hands and maintaining good hygiene. For more information on the many benefits of pet ownership, as well as staying safe and healthy around animals including pets, livestock, and wildlife, visit CDC’s Healthy Pets, Healthy People website."
Do I need to get my pet tested for COVID-19?,"No. At this time, routine testing of animals for COVID-19 is not recommended."
Can animals carry the virus that causes COVID-19 on their skin or fur?,"Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets. However, because animals can sometimes carry other germs that can make people sick, it’s always a good idea to practice healthy habits around pets and other animals, including washing hands before and after interacting with them."
Should I avoid contact with pets or other animals if I am sick with COVID-19?,"We are still learning about this virus, but it appears that it can spread from people to animals in some situations. Until we learn more about this new coronavirus, you should restrict contact with pets and other animals while you are sick with COVID-19, just like you would with people. When possible, have another member of your household care for your animals while you are sick. If you are sick with COVID-19, avoid contact with your pet, including Petting Snuggling Being kissed or licked Sharing food or bedding If you must care for your pet or be around animals while you are sick, wash your hands before and after you interact with pets and wear a mask."
What animals can get COVID-19?,"We don’t know for sure which animals can be infected with the virus that causes COVID-19. CDC is aware of a small number of pets, including dogs and cats, reported to be infected with the virus that causes COVID-19, mostly after close contact with people with COVID-19. A tiger at a zoo in New York has also tested positive for the virus. Recent research shows that ferrets, cats, and golden Syrian hamsters can be experimentally infected with the virus and can spread the infection to other animals of the same species in laboratory settings. Pigs, chickens, and ducks did not become infected or spread the infection based on results from these studies. Data from one study suggested dogs are not as likely to become infected with the virus as cats and ferrets. These findings were based on a small number of animals, and do not show whether animals can spread infection to people. At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. Further studies are needed to understand if and how different animals could be affected by the virus that causes COVID-19 and the role animals may play in the spread of COVID-19."
Should I worry about my pet cat?,"We are still learning about this virus and how it spreads, but it appears it can spread from humans to animals in some situations. CDC is aware of a small number of pets, including cats, reported to be infected with the virus that causes COVID-19, mostly after close contact with people with COVID-19. Most of these animals had contact with a person with COVID-19. A tiger at a New York zoo has also tested positive for the virus that causes COVID-19. At this time, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited data available, the risk of animals spreading COVID-19 to people is considered to be low. The virus that causes COVID-19 spreads mainly from person to person, typically through respiratory droplets from coughing, sneezing, or talking. People sick with COVID-19 should isolate themselves from other people and animals, including pets, during their illness until we know more about how this virus affects animals. If you must care for your pet or be around animals while you are sick, wear a mask and wash your hands before and after you interact with pets."
Can I walk my dog during the COVID-19 pandemic?,"Walking your dog is important for both animal and human health and wellbeing. Walk dogs on a leash, and stay at least 6 feet (2 meters) away from others. Do not gather in groups, stay out of crowded places, and avoid mass gatherings. To help maintain social distancing, do not let other people pet your dog when you are out for a walk. See “Can I take my dog to a dog park?” for information on dog parks."
Can I take my dog to a dog park?,"Dog parks provide socialization and exercise for dogs, which is an important part of their wellbeing. Because there is a small risk that people with COVID-19 could spread it to animals, CDC recommends that you do not let pets interact with people outside of your household, especially in places with community spread of COVID-19. Therefore, you should consider avoiding dog parks or other places where large numbers of people and dogs gather. Some areas are allowing dog parks to open. If you choose to go to a dog park, follow local guidelines. There are ways to reduce the risk of you or your dog getting infected with COVID-19 if you go to a dog park. Do not take your dog to a dog park if you are sick or if you have recently been in close contact with a person with COVID-19. Do not take your dog to a dog park if your dog is sick. Signs of sickness in dogs may include fever, coughing, difficulty breathing or shortness of breath, lethargy, sneezing, discharge from the nose or eyes, vomiting, or diarrhea. If your dog has tested positive for the virus that causes COVID-19, talk to your veterinarian about when it is appropriate for your pet to go back to normal activities. Try to limit your dog’s interaction with other people outside of your household while at the dog park. As much as possible, avoid touching common items in the dog park like water bowls. Wash your hands or use hand sanitizer after touching items from the park. To make sure your dog has fresh water, consider bringing your own portable water bowl. Limit other pet items brought to the dog park, such as toys. Clean and disinfect anything taken to the park and returned home (leashes, toys, water bowls). Do not wipe or bathe your dog with chemical disinfectants, alcohol, hydrogen peroxide, or any other products not approved for animal use. See more information on pets and COVID-19 and recommendations for how to help keep your pet safe."
Can I take my dog to daycare or a groomer?,"Until we know more about how this virus affects animals, CDC encourages pet owners to treat pets as you would other human family members to protect them from possible infection. This means limiting contact between your pets and people outside your household as much as possible and avoiding places where large numbers of people gather. Some areas are allowing groomers and boarding facilities such as dog daycares to open. If you must take your pet to a groomer or boarding facility, follow any protocols put into place at the facility, such as wearing a mask and maintaining at least 6 feet of space between yourself and others if possible. Limit pet items brought from home to the groomer or boarding facility, and disinfect any objects that are taken into a facility and returned home (such as leashes, bowls, and toys). Use an EPA-registered disinfectantexternal icon to clean items and rinse thoroughly with clean water afterwards. Do not wipe or bathe your pet with chemical disinfectants, alcohol, hydrogen peroxide, or any other products not approved for animal use. Do not put masks on pets, and do not take a sick pet to a groomer or boarding facility. Signs of sickness in animals may include: Fever Coughing Difficulty breathing or shortness of breath Lethargy Sneezing Nasal/ocular discharge Vomiting Diarrhea If you think your pet is sick, call your veterinarian. Some veterinarians may offer telemedicine consultations or other plans for seeing sick pets. Your veterinarian can evaluate your pet and determine the next steps for your pet’s treatment and care. See more information on pets and COVID-19 and recommendations for how to help keep your pet safe."
What should I do if my pet gets sick and I think it’s COVID-19?,"There is a small number of animals around the world reported to be infected with the virus that causes COVID-19, mostly after having contact with a person with COVID-19. Talk to your veterinarian about any health concerns you have about your pets. If your pet gets sick after contact with a person with COVID-19, do not take your pet to the veterinary clinic yourself. Call your veterinarian and let them know the pet was around a person with COVID-19. Some veterinarians may offer telemedicine consultations or other plans for seeing sick pets. Your veterinarian can evaluate your pet and determine the next steps for your pet’s treatment and care."
Why are animals being tested when many people can’t get tested?,"Animals are only being tested in very rare circumstances. Routine testing of animals is not recommended at this time, and any tests done on animals are done on a case by case basis. For example, if the pet of a COVID-19 patient has a new, concerning illness with symptoms similar to those of COVID-19, the animal’s veterinarian might consult with public health and animal health officials to determine if testing is needed."
Are pets from a shelter safe to adopt?,"Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. There is no reason to think that any animals, including shelter pets, play a significant role in spreading the virus that causes COVID-19."
What should I do if there are pets at my long-term care facility or assisted living facility?,"Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low. However, it appears that the virus that causes COVID-19 can spread from people to animals after close contact with people with COVID-19. Until we learn more about how this virus affects animals, use similar precautions for pets and other animals in your facility as you would for other people in your facility. This will help protect both people and pets in your facility from COVID-19. Do not let pets in the facility interact with sick people. Pets or other animals should not be allowed to roam freely around the facility. Residents should avoid letting their pets interact with people as much as possible. Dogs should be walked on a leash at least 6 feet (2 meters) away from others. People sick with COVID-19 should avoid contact with pets and other animals. Do not allow pets into common areas of the facility such as cafeterias and social areas. Cats should be kept indoors to prevent them from interacting with other animals or people outside of the facility. Talk to a veterinarian if a pet in your facility gets sick or if you have any concerns about the health of any pets in the facility. If you think a pet in the facility was exposed to or is showing signs consistent with COVID-19, contact your state health official to discuss guidance on testing pets or other animals for the virus that causes COVID-19. People who are at higher risk for severe illness from COVID-19 should avoid providing care for sick pets, if possible. For more information, visit CDC’s If You Have Pets webpage."
What about imported animals or animal products?,"CDC does not have any evidence to suggest that imported animals or animal products pose a risk for spreading COVID-19 in the United States. This is a rapidly evolving situation and information will be updated as it becomes available. CDC, the U. S. Department of Agriculture (USDA), and the U.S. Fish and Wildlife Service (FWS) play distinct but complementary roles in regulating the importation of live animals and animal products into the United States. CDC regulates animals and animal products that pose a threat to human health, USDA regulateexternal icon animals and animal products that pose a threat to agriculture; and FWS regulatesexternal icon importation of endangered species and wildlife that can harm the health and welfare of humans, the interests of agriculture, horticulture, or forestry, and the welfare and survival of wildlife resources."
Can I travel to the United States with dogs or import dogs into the United States during the COVID-19 outbreak?,Please refer to CDC’s requirements for bringing a dog to the United States. The current requirements for rabies vaccination apply to dogs imported from high-risk countries for rabies.
"What precautions should be taken for animals that have recently been imported from outside the United States (for example, by shelters, rescues, or as personal pets)?","Imported animals will need to meet CDC and USDAexternal iconexternal icon requirements for entering the United States. At this time, there is no evidence that companion animals, including pets and service animals, can spread the virus that causes COVID-19. As with any animal introduced to a new environment, animals recently imported should be observed daily for signs of illness. If an animal becomes ill, the animal should be examined by a veterinarian. Call your local veterinary clinic before bringing the animal into the clinic and let them know that the animal was recently imported from another country. This is a rapidly evolving situation and information will be updated as it becomes available."
Can wild animals spread the virus that causes COVID-19 to people or pets?,"Currently, there is no evidence to suggest the virus that causes COVID-19 is circulating in free-living wildlife in the United States, or that wildlife might be a source of infection for people in the United States. The first case of a wild animal testing positive for the virus in the United States was a tiger with a respiratory illness at a zoo in New York City. However, this tiger was in a captive zoo environment ,and public health officials believe the tiger became sick after being exposed to a zoo employee who was infected and spreading the virus. If a wild animal were to become infected with the virus, we don’t know whether the infection could then spread among wildlife or if it could spread to other animals, including pets. Further studies are needed to understand if and how different animals, including wildlife, could be affected by COVID-19. Because wildlife can carry other diseases, even without looking sick, it is always important to enjoy wildlife from a distance. Take steps to prevent getting sick from wildlife in the United States: Keep your family, including pets, a safe distance away from wildlife. Do not feed wildlife or touch wildlife droppings. Always wash your hands and supervise children washing their hands after working or playing outside. Leave orphaned animals alone. Often, the parents are close by and will return for their young. Consult your state wildlife agency’s guidance if you are preparing or consuming legally harvested game meat. Do not approach or touch a sick or dead animal – contact your state wildlife agency instead."
"Can bats in United States get the virus that causes COVID-19, and can they spread it back to people?","Other coronaviruses have been found in North American bats in the past, but there is currently no evidence that the virus that causes COVID-19 is present in any free-living wildlife in the United States, including bats. In general, coronaviruses do not cause illness or death in bats, but we don’t yet know if this new coronavirus would make North American species of bats sick. Bats are an important part of natural ecosystems, and their populations are already declining in the United States. Bat populations could be further threatened by the disease itself or by harm inflicted on bats resulting from a misconception that bats are spreading COVID-19. However, there is no evidence that bats in the United States are a source of the virus that causes COVID-19 for people. Further studies are needed to understand if and how bats could be affected by COVID-19."
Is hunter-harvested game meat safe to eat during the COVID-19 pandemic?,"Currently, there is no evidence that you can get infected with the virus that causes COVID-19 by eating food, including wild hunted game meat. However, hunters can get infected with other diseases when processing or eating game. Hunters should always practice good hygiene when processing animals by following these food safety recommendations: Do not harvest animals that appear sick or are found dead. Keep game meat clean and cool the meat down as soon as possible after harvesting the animal. Avoid cutting through the backbone and spinal tissues and do not eat the brains of any wild animal. When handling and cleaning game: Wear rubber or disposable gloves. Do not eat, drink, or smoke. When finished handling and cleaning game: Wash your hands thoroughly with soap and water. Clean knives, equipment, and surfaces that were in contact with game meat with soap and water and then disinfect them. While these recommendations apply to general food safety practices, if you are concerned about COVID-19, you may use a product on the EPA list of disinfectants for use against the COVID-19 virusexternal icon. Cook all game meat thoroughly (to an internal temperature of 165°F or higher). Check with your state wildlife agency regarding any testing requirements for other diseases and for any specific instructions regarding preparing, transporting, and consuming game meat."
How can I safely run my equestrian facility?,"You should follow your state and/or local jurisdictional guidance regarding continuing operations at your facility. There have not been any reports of horses testing positive for the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading the virus that causes COVID-19 to people is considered to be low. COVID-19 is primarily spread from person to person, so steps should be taken to reduce the risks for people visiting your facility. Encourage employees and other visitors, including boarders, owners, farriers, veterinarians, and those taking lessons, not to enter the facility if they are sick. Employees should not return to work until the criteria to discontinue home isolation are met, after talking with their doctor. Implement sick leave policies that are flexible, nonpunitive, and consistent with public health guidance, allowing employees to stay home if they have symptoms of respiratory infection. Consider conducting daily health checks (e.g., symptom and/or temperature screening) of employees and others visiting the facility before they enter the premises. People with a fever of 100.40(38.00C) or above or other signs of illness should not be admitted to the premises. If implementing health checks, conduct them safely and respectfully. See General Business FAQs for more information. Employees or visitors who appear to have symptoms upon arrival or who become sick during their visit should immediately be separated from other employees and visitors and sent home. Limit the number of people entering the facility. Consider staggering lesson and visiting times to limit the number of people in the facility and potential for person-to-person contact. If possible, you can also take steps to decrease high-traffic areas by limiting areas open to visitors/owners or staggering use of common areas like grooming or wash stalls and tack rooms. Increase distance and limit duration of contact between employees and visitors in the facility. Whenever possible, people should maintain at least 6 feet of distance between each other at the facility, including instructors teaching lessons. Allow for social distancing and avoid large numbers of people within the facility, including in employee-only areas. Visitors and employees should wear masks to protect others especially where social distancing measures are difficult to maintain. Wearing a mask does NOT replace the need to practice social distancing. Set up hand hygiene stations at the entrance and within the facility, so that employees and people entering can clean their hands before they enter. Employees should wash hands regularly with soap and water for at least 20 seconds. An alcohol-based hand sanitizer containing at least 60% alcohol can be used, but if hands are visibly dirty, they should be washed with soap and water before using an alcohol-based hand sanitizer. Examples of hand hygiene stations may be a hose and soap located at entrances to allow for handwashing before entry. Clean and disinfect frequently touched surfaces such as grooming tools, halters, lead ropes, shared tack and equipment, and door handles/gates (including those to stall doors and pasture/turn out areas) on a routine basis. To disinfect, use products that meet EPA’s criteria for use against theexternal icon virus that causes COVID-19 and are appropriate for the surface, diluted household bleach solutions prepared according to the manufacturer’s label for disinfection, or alcohol solutions with at least 70% alcohol. Follow manufacturer’s directions for use, especially regarding product contact time and protections from chemical hazards posed by cleaners and disinfectants. Follow local guidance on shelter in place and travel recommendations when traveling for showing, training, or trail riding. If traveling to a new facility, limit contact between people, horses, tack, equipment, and other supplies from different facilities, and maintain a distance of at least 6 feet between horses and riders. Follow state and local guidance on travel. People who are sick should not travel to other facilities. People visiting other facilities should follow the same precautions as they would normally, including maintaining at least 6 feet of distance between each other, wearing a mask to protect others, and washing hands frequently with soap and water. If other animals, such as barn cats, are present at the facility, be aware that a small number of pets have been reported to be infected with the virus that causes COVID-19, mostly after contact with people with COVID-19. For more information, see Guidance on Preparing Workplaces for COVID-19pdf iconexternal icon and Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19)."
What is community mitigation?,"Community mitigation activities are actions that people and communities can take to slow the spread of infectious diseases, and prepare for it if it occurs, including COVID-19. Community mitigation is especially important before a vaccine or drug becomes widely available. For more information, see Community Mitigation Framework."
What are community mitigation actions for COVID-19?,"For individuals Washing hands often Avoiding close contact with people who are sick, and practicing social distancing Covering mouth and nose with a mask when around others Covering coughs and sneezes Cleaning and disinfecting frequently touched surfaces daily For communities Promoting behaviors that prevent spread Maintaining healthy environments Maintaining healthy operations Preparing for when someone gets sick Closing businesses and schools and limiting other services For more information, see Community Mitigation Framework."
Who is involved in community mitigation actions?,"Individual people, communities, schools, businesses, and healthcare organizations have a role to play in community mitigation. Policies*, which include limits on large gatherings, restrictions on businesses, and school closures are often needed to fully put in place community mitigation strategies. Each community is unique. Because some actions can be very disruptive to daily life, mitigation activities will be different depending on how much disease has spread within the community, what the community population is like, and the ability to take these actions at the local level. To identify appropriate activities, all parts of a community that might be affected need to be considered, including populations most vulnerable to severe illness, and those who might be more affected socially or economically. When selecting mitigation activities, states and communities need to consider the spread of disease locally, characteristics of the people who live in the community (for example, age groups, languages spoken, overall health status), and the kind of public health resources and healthcare systems (like hospitals) that are available in the community. State and local officials may need to adjust community mitigation activities and immediately take steps to scale them up or down depending on the changing local situation. Putting mitigation into practice is based on Emphasizing individual responsibility for taking recommended personal-level actions Empowering businesses, schools, and community organizations to take recommended actions, particularly in ways that protect persons at increased risk of severe illness Focusing on settings that provide critical infrastructure or services to individuals at increased risk of severe illness Minimizing disruptions to daily life to the extent possible *CDC cannot address the policies of any business or organization. CDC shares recommendations based on the best available science to help people make decisions that improve their health and safety. In all cases, follow the guidance of your healthcare provider and local health department. Local decisions depend on local circumstances. For more information, see Community Mitigation Framework."
Can the virus that causes COVID-19 spread through treated drinking water?,"The virus that causes COVID-19 has not been detected in treated drinking water. Water treatment plants use filters and disinfectants to remove or kill germs, like the virus that causes COVID-19. The Environmental Protection Agency regulates water treatment plants to ensure that treated water is safe to drink. Currently, there is no evidence that the virus that causes COVID-19 can be spread to people by drinking treated water. COVID-19 is spread mainly through close contact from person-to-person. You can continue to use and drink water from your tap as usual."
Is the virus that causes COVID-19 found in feces (stool)?,"The virus that causes COVID-19 has been found in the feces of some patients diagnosed with COVID-19. However, it is unclear whether the virus found in feces may be capable of causing COVID-19. There has not been any confirmed report of the virus spreading from feces to a person. Scientists also do not know how much risk there is that the virus could be spread from the feces of an infected person to another person. However, they think this risk is low based on data from previous outbreaks of diseases caused by related coronaviruses, such as severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS)."
Can the COVID-19 virus spread through sewerage systems?,"Recently, ribonucleic acid (RNA) from the virus that causes COVID-19 has been found in untreated wastewater. While data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater. At this time, the risk of transmission of the virus that causes COVID-19 through properly designed and maintained sewerage systems is thought to be low."
Should wastewater workers take extra precautions to protect themselves from the virus that causes COVID-19?,"Recently, ribonucleic acid (RNA) from the virus that causes COVID-19 has been found in untreated wastewater. While data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater. Standard practices associated with wastewater treatment plant operations should be sufficient to protect wastewater workers from the virus that causes COVID-19. These standard practices can include engineering and administrative controls, hygiene precautions, specific safe work practices, and personal protective equipment (PPE) normally required when handling untreated wastewater. No additional COVID-19–specific protections are recommended for workers involved in wastewater management, including those at wastewater treatment facilities. See Information for Wastewater and Sanitation System Workers on COVID-19 for additional information."
"If my utility has issued a Boil Water Advisory, can I still use tap water to wash my hands?","In most cases, it is safe to wash your hands with soap and tap water during a Boil Water Advisory. Follow the guidance from your local public health officials. If soap and water are not available, use an alcohol-based hand sanitizer containing at least 60% alcohol."
